,game_and_track,value
0,"Final Fantasy Tactics--""Under the Stars""",4
1,"Persona 3--""Memories of the City""",4
2,"Romancing SaGa 3--""Boundaries""",4
3,"Unlimited Saga--""Theme for Laura""",3
4,"PoPoLoCRoIS Monogatari--""Northern World""",4
5,"Tales of Graces--""To a Sea of Dancing Snow""",4
6,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",4
7,"Napple Tale--""Snowball""",2
8,"SaGa Frontier 2--""Naturvolk""",4
9,"Bravely Default--""Land of Immortality""",4
10,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",4
11,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",4
12,"Pokémon X/Y--""Snowbelle City""",12
13,"Final Fantasy XIII--""Lake Bresha""",2
14,"Kingdom Hearts II--""The Home of Dragons""",12
15,"Zwei: The Ilvard Insurrection--""Edge of Stars""",3
16,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",4
17,"Final Fantasy X--""People of the North Pole""",4
18,"Final Fantasy X-2--""Mt. Gagazet""",4
19,"Odin Sphere--""Battle on the Snowy Mountain""",12
20,"Kantai Collection--""Winter Fleet""",12
21,"Sonic the Hedgehog 3--""Ice Cap Zone""",4
22,"Donkey Kong Country 2--""In a Snow-Bound Land""",4
23,"Final Fantasy VII--""Buried in the Snow""",3
24,"Stardew Valley--""Marimba of Frozen Bones""",4
25,"Celeste--""My Dearest Friends""",4
26,"Animal Crossing: New Horizons--""Toy Day""",4
27,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",4
28,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",12
29,"Super Mario 3D Land--""Snowball Park""",4
30,"Super Mario 64--""Cool, Cool Mountain""",4
31,"Mother 3--""White""",12
32,"Donkey Kong Country--""Ice Cave Chant""",4
33,"Mario Party 3--""Chilly-Chilly Lake""",6
34,"Kirby Triple Deluxe--""Silver Snow Story""",4
35,"Atelier Totori: The Adventurer of Arland--""Hepatica""",4
36,"Monster Hunter Freedom Unite--""Pokke Village""",4
37,"Paper Mario--""Cold Reception""",4
38,"Banjo-Kazooie--""Freezeezy Peak""",4
39,"Kirby 64: The Crystal Shards--""Shiver Star""",4
40,"Pokémon Diamond/Pearl--""Route 216""",4
41,"Super Smash Brothers Melee--""Icicle Mountain""",4
42,"Knight Arms--""Arsys Christmas Song""",4
43,"Super Mario Kart--""Vanilla Lake""",4
44,"Mario Kart 64--""Frappe Snowland""",4
45,"Kirby Air Ride--""Float Islands""",4
46,"Kirby Air Ride--""Frozen Hillside""",4
47,"Kirby Air Ride--""Rainbow Resort""",3
48,"Kirby and the Amazing Mirror--""Crystal and Ice""",4
49,"Kirby’s Adventure--""Rainbow Resort""",4
50,"Kirby Canvas Curse--""Frozen Fantasy""",3
51,"Baku Bomberman--""White Ice""",4
52,"Donkey Kong Country--""Northern Hemispheres""",4
53,"Donkey Kong Country 3--""Frosty Frolics""",4
54,"Mother 2--""Winters""",4
55,"Chrono Trigger--""Singing Mountain""",4
56,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",4
57,"Final Fantasy VI--""Terra’s Theme""",4
58,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",2
59,"Trials of Mana--""Another Winter""",4
60,"Chocobo’s Dungeon 2--""Snow Field""",3
61,"Paper Mario--""Crystal Palace Crawl""",2
62,"Banshee's Last Cry--""Visions of a Distant Day""",4
63,"Revelations: Persona--""Snow Queen""",6
64,"Secret of Mana--""A Bell is Tolling""",4
65,"Sorcerian--""Cave I""",4
66,"Hanjuku Hero--""Field (Winter)""",12
67,"Mōryō Senki MADARA--""Aurora in the Distance""",4
68,"Pokémon Diamond/Pearl--""Mt. Coronet""",4
69,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",4
70,"Soma Bringer--""Village of Snow""",4
71,"Final Fantasy Tactics--""Antidote""",12
72,"Pokémon Diamond/Pearl--""Route 216 (Night)""",12
73,"Captain Toad: Treasure Tracker--""Star Express""",4
74,"Christmas Nights into Dreams--""Jack Frost's Chime""",4
75,"F-Zero--""White Land""",4
76,"Gradius Gaiden--""Snowfield""",4
77,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",4
78,"The Legend of Xanadu--""Ice Tower""",4
79,"Mega Man 4--""Dr. Cossack Stage 1""",4
80,"Mega Man & Bass--""Coldman Stage""",4
81,"Mega Man Zero 2--""Ice Brain""",4
82,"Super Street Fighter IV--""Theme of Zangief""",4
83,"Mega Man X--""Chill Penguin Stage""",4
84,"Mega Man X2--""Crystal Snail Stage""",3
85,"Mega Man X3--""Blizzard Buffalo Stage""",6
86,"Mega Man X4--""Frost Walrus Stage 2""",4
87,"Mega Man Zero 3--""Trail on Powdery Snow""",4
88,"Mega Man ZX--""Wonder Panorama""",4
89,"Castle Crashers--""Winter Bliss""",4
90,"Persona 3 FES--""The Snow Queen""",4
91,"Mushihimesama Futari--""Sea of Frozen Crystals""",4
92,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",4
93,"Revelations: Persona--""Ice Castle""",4
94,"Sonic Unleashed--""Cool Edge (Day)""",4
95,"Gurumin--""Jun Jun Jungle Gym""",4
96,"Diddy Kong Racing--""Frosty Village""",4
97,"Mario Kart 8--""Mount Wario""",4
98,"Mario Kart 7--""Rosalina's Ice World""",4
99,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",4
100,"Ace Combat 5: The Unsung War--""Ice Cage""",5
101,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",4
102,"Kirby's Epic Yarn--""Snowy Fields""",4
103,"Harvest Moon 64--""New Year’s Eve""",4
104,"Harvest Moon 64--""Starry Night Festival""",4
105,"Harvest Moon 64--""Winter Season""",3
106,"Tales of Symphonia--""Snow Light""",3
107,"Stardew Valley--""Nocturne of Ice""",4
108,"Stardew Valley--""The Wind Can Be Still""",4
109,"Stardew Valley--""Ancient""",2
110,"Stardew Valley--""Winter Festival""",2
111,"Stardew Valley--""Icicles""",4
112,"Stardew Valley--""Cloth""",4
113,"Stardew Valley--""Visitor to the Unknown""",4
114,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",4
115,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",4
116,"Harvest Moon: A Wonderful Life--""Quiet Winter""",3
117,"Harvest Moon DS--""Winter""",4
118,"Harvest Moon: Back to Nature--""Winter""",4
119,"Harvest Moon 3D: A New Beginning--""Winter""",4
120,"Harvest Moon--""Winter""",3
121,"Harvest Moon: Magical Melody--""Winter""",4
122,"Harvest Moon: Save the Homeland--""Winter (Farm)""",3
123,"Harvest Moon: Save the Homeland--""Winter (Town)""",4
124,"Harvest Moon: Tree of Tranquility--""Winter""",6
125,"Harvest Moon: Animal Parade--""Winter (Day)""",4
126,"Harvest Moon: Animal Parade--""Winter (Night)""",4
127,"Harvest Moon: Hero of Leaf Valley--""Winter""",3
128,"Harvest Moon: Friends of Mineral Town--""Winter""",4
129,"Harvest Moon DS: Island of Happiness--""Winter""",4
130,"Harvest Moon DS: Sunshine Islands--""Winter""",4
131,"Harvest Moon: The Tale of Two Towns--""Winter""",4
132,"Harvest Moon: Lost Valley--""Winter (Day)""",4
133,"Harvest Moon: Lost Valley--""Winter (Night)""",4
134,"Rune Factory: A Fantasy Harvest Moon--""Winter""",12
135,"Rune Factory 2--""Winter""",6
136,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",6
137,"Sonic Unleashed--""Cool Edge (Night)""",4
138,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",12
139,"Secret of Mana--""A Wish…""",3
140,"Yooka-Laylee--""Glitterglaze Glacier""",4
141,"Elder Scrolls II: Daggerfall--""Treading Winter""",7
142,"Persona 4--""Snowflakes""",4
143,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",6
144,"Runescape 3--""Snowdrops""",4
145,"The Legend of Xanadu--""The Ice Cave""",3
146,"Mega Man--""Iceman Stage""",4
147,"Persona 4--""Christmas Eve""",4
148,"Persona 5--""Christmas Eve [out]""",4
149,"Persona 5--""Christmas Eve [in]""",4
150,"Final Fantasy XIV--""Starlight Celebration""",3
151,"Kingdom Hearts II Final Mix--""Christmas Town""",4
152,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",12
153,"Overcooked! The Festive Seasoning--""Menu Music""",3
154,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",6
155,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",4
156,"Overcooked! The Festive Seasoning--""Level""",4
157,"Overcooked! The Festive Seasoning--""Onion Wildfire""",4
158,"Pikmin 3--""Fortress of Festivity!""",4
159,"Final Fantasy Tactics--""Under the Stars""",dorian:modal:minorish
160,"Persona 3--""Memories of the City""",minor:minorish
161,"Romancing SaGa 3--""Boundaries""",minor:minorish
162,"Unlimited Saga--""Theme for Laura""",minor:minorish
163,"PoPoLoCRoIS Monogatari--""Northern World""",major:majorish
164,"Tales of Graces--""To a Sea of Dancing Snow""",minor:minorish
165,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",major:majorish
166,"Napple Tale--""Snowball""",lydian:modal:majorish
