Game,Track title,Franchise,Year,Platform,Company,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15
Ace Combat 5: The Unsung War,"""Ice Cage""",Ace Combat,2004,PlayStation 2:Sony,Namco,5,aeolian:modal:minorish,arpeggiated,high reverb,military,hi-hat:metallic_percussion:percussion,harp:plucked_strings:strings,strings:strings,timpani:drums:percussion,drumset:drums,glockenspiel:metallic_percussion:percussion,distorted_drums:drums,,,,,,,,
Seiya Monogatari: Anearth Fantasy Stories,"""Forest""",Anearth Fantasy Stories,1995,computer:computer,Hudson,4,major:majorish,--,high reverb,rock,piano,chimes:metallic_percussion:percussion,oboe:woodwinds,strings:strings,horn:brass,harp:plucked_strings:strings,flute:woodwinds,orchestra,electric_piano:metallic_percussion:piano,pizz_strings:strings:plucked_strings,bluesy,extended_tertian,Christmas,glockenflute:metallic_percussion:percussion:woodwinds,
Animal Crossing: New Horizons,"""Toy Day""",Animal Crossing,2020,Nintendo Switch:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,no_drums,sleigh_bells:metallic_percussion,trumpet:brass,celesta:metallic_percussion:percussion,acoustic_guitar:guitar:plucked_strings,trombone:brass,electric_piano:metallic_percussion:piano,accordion,Christmas,vibraphone:metallic_percussion:percussion,glockenspiel:metallic_percussion:percussion,,,,,
Atelier Totori: The Adventurer of Arland,"""Hepatica""",Atelier,2010,PlayStation 3:Sony,"Gust Co., Ltd.",4,major:majorish,arpeggiated,low reverb,light_drums,triangle:metallic_percussion:percussion,xylophone:percussion,glockenspiel:metallic_percussion:percussion,piano:piano,sleigh_bells:metallic_percussion,pizz_strings:strings:plucked_strings,harp:plucked_strings:strings,bass_drum:drums,wind_chimes:metallic_percussion:percussion,,,,,,
Banjo-Kazooie,"""Freezeezy Peak""",Banjo-Kazooie,1998,Nintendo 64:Nintendo,Rare,4,major:majorish,--,low reverb,polka,strings:strings,sleigh_bells:metallic_percussion,wind_effect,timpani:drums:percussion,horn:brass,flute:woodwinds,saxophone:woodwinds,bassoon:woodwinds,celesta:metallic_percussion:percussion,piccolo:woodwinds,Christmas,,,,
Baku Bomberman,"""White Ice""",Bomberman,1997,Nintendo 64:Nintendo,Hudson Soft,4,major:majorish,arpeggiated,high reverb,shuffle,electric_organ:organ,drumset:drums,electric_bass:bass,pizz_strings:strings:plucked_strings,pan_flute:woodwinds,harp:plucked_strings:strings,gliss,piccolo:woodwinds,square_wave:synth,,,,,,
Bravely Default,"""Land of Immortality""",Bravely,2014,Nintendo 3DS:Nintendo,Square Enix,4,minor:minorish,arpeggiated,high reverb,rock,sleigh_bells:metallic_percussion,piano:piano,glockenspiel:metallic_percussion:percussion,acoustic_guitar:guitar:plucked_strings,wind_chimes:metallic_percussion:percussion,treble_vocal_synth:vocals:synth,pennywhistle:woodwinds,,,,,,,,
Chrono Trigger,"""Singing Mountain""",Chrono,1995,SNES:Nintendo,Square Enix,4,minor:minorish,arpeggiated,high reverb,,wind_effect,piano:piano,treble_vocal_synth:vocals:synth,harp:plucked_strings:strings,choral_synth:synth:vocals,no_drums,,,,,,,,,
Donkey Kong Country 2,"""In a Snow-Bound Land""",Donkey Kong,1995,SNES:Nintendo,Rare,4,major:majorish,arpeggiated,high reverb,rock,gated_snare:drums:percussion:drums,80s,drumset:drums,treble_vocal_synth:vocals:synth,electric_bass:bass,glockenspiel:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,strings:strings,tambourine:metallic_percussion:percussion,marimba:percussion,sweeps,,,,
Donkey Kong Country,"""Ice Cave Chant""",Donkey Kong,1994,SNES:Nintendo,Rare,4,mixolydian:modal:majorish,arpeggiated,high reverb,no_drums,glockenspiel:metallic_percussion:percussion,harp:plucked_strings:strings,strings:strings,xylophone:percussion,acoustic_bass:bass,,,,,,,,,,
Donkey Kong Country,"""Northern Hemispheres""",Donkey Kong,1994,SNES:Nintendo,Rare,4,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,strings:strings,harp:plucked_strings:strings,piano:piano,pan_flute:woodwinds,pizz_strings:strings:plucked_strings,bass_drum:drums,field_drum:drums,rapid_notes,flute:woodwinds,,,,,,
Donkey Kong Country 3,"""Frosty Frolics""",Donkey Kong,1996,SNES:Nintendo,Rare,4,aeolian:modal:minorish,arpeggiated,high reverb,,crotales:metallic_percussion:percussion,hi-hat:metallic_percussion:percussion,electric_bass:bass,rapid_notes,flute:woodwinds,electric_piano:metallic_percussion:piano,80s,,,,,,,,
Diddy Kong Racing,"""Frosty Village""",Donkey Kong,1997,Nintendo 64:Nintendo,Rare,4,major:majorish,--,low reverb,boogie-woogie,,flute:woodwinds,electric_guitar:guitar,electric_organ:organ,saxophone:woodwinds,piano:piano,chimes:metallic_percussion:percussion,choral_synth:synth:vocals,Christmas,glockenflute:metallic_percussion:percussion:woodwinds,piccolo:woodwinds,,,,
Donkey Kong Country 3: Dixie Kong’s Double Trouble!,"""Christmas Bonus Level""",Donkey Kong,1996,SNES:Nintendo,Rare,12,major:majorish,--,high reverb,no_drums,boogie-woogie,saxophone:woodwinds,chimes:metallic_percussion:percussion,electric_piano:metallic_percussion:piano,electric_bass:bass,sleigh_bells:metallic_percussion,Christmas,,,,,,,,
The Legend of Xanadu,"""Ice Tower""",Dragon Slayer,1994,TurboGrafx-16:other,Falcom,4,minor:minorish,--,high reverb,rock,synth:synth,synth_bass:synth:bass,glockenspiel:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,,,,,,,,,,,
The Legend of Xanadu,"""The Ice Cave""",Dragon Slayer,1994,TurboGrafx-16:other,Falcom,3,minor:minorish,arpeggiated,high reverb,--,chiptune,,,,,,,,,,,,,,
Sorcerian,"""Cave I""",Dragon Slayer,1987,computer:computer,Nihon Falcom,4,aeolian:modal:minorish,arpeggiated,high reverb,rock,piano,strings:strings,pan_flute:woodwinds,xylophone:percussion,80s,rapid_notes,gated_snare:drums:percussion:drums,electric_guitar:guitar,synth_brass:synth:brass,,,,,,
Elder Scrolls II: Daggerfall,"""Treading Winter""",Elder Scrolls,1996,computer:computer,Bethesda,7,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,tambourine:metallic_percussion:percussion,choral_synth:synth:vocals,wind_chimes:metallic_percussion:percussion,harp:plucked_strings:strings,horn:brass,strings:strings,flute:woodwinds,chromatic_mediants,,,,,,,
F-Zero,"""White Land""",F-Zero,1990,SNES:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,rock,slap_bass:bass,electric_piano:metallic_percussion:piano,drumset:drums,electric_guitar:guitar,80s,tambourine:metallic_percussion:percussion,claves:auxiliary_percussion:percussion,Steely_Dan,half-time,,,,,,
Final Fantasy Tactics,"""Under the Stars""",Final Fantasy,1997,PlayStation:Sony,Square Enix,4,dorian:modal:minorish,arpeggiated,high reverb,no_drums,piano:piano,strings:strings,horn:brass,wind_chimes:metallic_percussion:percussion,chimes:metallic_percussion:percussion,harp:plucked_strings:strings,strings:strings,,,,,,,,
Final Fantasy XIII,"""Lake Bresha""",Final Fantasy,2009,multiplatform:multiplatform,Square Enix,2,dorian:modal:minorish,arpeggiated,high reverb,military,chimes:metallic_percussion:percussion,strings:strings,piano:piano,violin:strings,xylophone:percussion,orchestra,glockenspiel:metallic_percussion:percussion,rapid_notes,wind_chimes:metallic_percussion:percussion,,,,,,
Final Fantasy X,"""People of the North Pole""",Final Fantasy,2001,PlayStation 2:Sony,Square Enix,4,aeolian:modal:minorish,--,high reverb,--,violin:strings,tom_toms:drums:percussion,strings:strings,marimba:percussion,piano:piano,no_bass,,,,,,,,,
Final Fantasy X-2,"""Mt. Gagazet""",Final Fantasy,2003,PlayStation 2:Sony,Square Enix,4,aeolian:modal:minorish,--,high reverb,--,strings:strings,gong:metallic_percussion:percussion,,accordion,cymbals:metallic_percussion:percussion,horn:brass,flute:woodwinds,hand_drums:drums,,,,,,,
Final Fantasy VII,"""Buried in the Snow""",Final Fantasy,1997,PlayStation:Sony,Square Enix,3,major:majorish,arpeggiated,high reverb,no_drums,vibraphone:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,acoustic_bass:bass,strings:strings,,,,,,,,,,,
Final Fantasy VI,"""Terra’s Theme""",Final Fantasy,1994,SNES:Nintendo,Square Enix,4,aeolian:modal:minorish,arpeggiated,high reverb,military,chimes:metallic_percussion:percussion,strings:strings,harp:plucked_strings:strings,no_drums,trumpet:brass,flute:woodwinds,horn:brass,oboe:woodwinds,snare:drums:percussion,,,,,,
Chocobo’s Dungeon 2,"""Snow Field""",Final Fantasy,1998,PlayStation:Sony,Square Enix,3,major:majorish,arpeggiated,high reverb,no_drums,strings:strings,vibraphone:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,,,,,,,,,,,,
Final Fantasy Tactics,"""Antidote""",Final Fantasy,1997,PlayStation:Sony,Square Enix,12,lydian:modal:majorish,arpeggiated,high reverb,--,harp:plucked_strings:strings,chimes:metallic_percussion:percussion,oboe:woodwinds,strings:strings,pizz_strings:strings:plucked_strings,horn:brass,bass_drum:drums,timpani:drums:percussion,,,,,,,
Final Fantasy XIV,"""Starlight Celebration""",Final Fantasy,,,,3,major:majorish,arpeggiated,high reverb,no_drums,treble_vocals:vocals,choir:vocals,piano:piano,strings:strings,crotales:metallic_percussion:percussion,celesta:metallic_percussion:percussion,chimes:metallic_percussion:percussion,minor_iv,Christmas,,,,,,
Fire Emblem: Genealogy of the Holy War,"""Chapter 4""",Fire Emblem,1996,SNES:Nintendo,Nintendo,2,dorian:modal:minorish,arpeggiated,low reverb,no_drums,strings:strings,glockenspiel:metallic_percussion:percussion,sleigh_bells:metallic_percussion,horn:brass,,,,,,,,,,,
Hanjuku Hero,"""Field (Winter)""",Hanjuku Hero,1988,Nintendo Entertainment System:Nintendo,Square Enix,12,major:majorish,arpeggiated,low reverb,military,chiptune,snare:drums:percussion,,,,,,,,,,,,,
Kingdom Hearts II,"""The Home of Dragons""",Kingdom Hearts,2005,PlayStation 2:Sony,Square Enix,12,aeolian:modal:minorish,arpeggiated,high reverb,military,tambourine:metallic_percussion:percussion,oboe:woodwinds,gong:metallic_percussion:percussion,violin:strings,xylophone:percussion,harp:plucked_strings:strings,,,,,,,,,
Kingdom Hearts II Final Mix,"""Christmas Town""",Kingdom Hearts,2007,PlayStation 2:Sony,Square Enix,4,major:majorish,,high reverb,light_drums,marimba:percussion,chimes:metallic_percussion:percussion,glockenspiel:metallic_percussion:percussion,orchestra,wind_chimes:metallic_percussion:percussion,sleigh_bells:metallic_percussion,flute:woodwinds,pizz_strings:strings:plucked_strings,oboe:woodwinds,horn:brass,choir:vocals,harp:plucked_strings:strings,Christmas,,
Kirby Triple Deluxe,"""Silver Snow Story""",Kirby,2014,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,EDM,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion:percussion,piano:piano,vibraphone:metallic_percussion:percussion,synth_bass:synth:bass,chimes:metallic_percussion:percussion,marimba:percussion,offbeat_8ths,treble_vocal_synth:vocals:synth,horn:brass,violin:strings,,,,
Kirby 64: The Crystal Shards,"""Shiver Star""",Kirby,2000,Nintendo 64:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,rock,80s,synth_bass:synth:bass,glockenspiel:metallic_percussion:percussion,clarinet:woodwinds,brass:brass,pan_flute:woodwinds,sleigh_bells:metallic_percussion,strings:strings,chimes:metallic_percussion:percussion,rapid_bass_line,,,,,
Kirby Air Ride,"""Float Islands""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,4,major:majorish,--,low reverb,rock,rapid_notes,electric_bass:bass,clavinet,xylophone:percussion,chimes:metallic_percussion:percussion,electric_organ:organ,strings:strings,pan_flute:woodwinds,drumset:drums,,,,,,
Kirby Air Ride,"""Frozen Hillside""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,4,minor:minorish,arpeggiated,high reverb,no_drums,choral_synth:synth:vocals,strings:strings,electric_bass:bass,harpsichord:plucked_strings,sleigh_bells:metallic_percussion,harp:plucked_strings:strings,glockenspiel:metallic_percussion:percussion,flute:woodwinds,acoustic_guitar:guitar:plucked_strings,cymbals:metallic_percussion:percussion,falling_fifths,,,,
Kirby Air Ride,"""Rainbow Resort""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,3,major:majorish,arpeggiated,high reverb,,flute:woodwinds,marimba:percussion,synth_bass:synth:bass,synth_lead:synth,,,,,,,,,,,
