Game,Track title,Franchise,Year,Platform,Company,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
Final Fantasy Tactics,"""Under the Stars""",Final Fantasy,1997,PlayStation:Sony,Square Enix,4,dorian:minorish,arpeggiated,high reverb,no_drums,piano,strings,horn:brass,wind_chimes:metallic_percussion,chimes:metallic_percussion,harp:plucked_strings,flute:woodwinds,,,,,,,,,
Persona 3,"""Memories of the City""",Persona,2006,PlayStation 2:Sony,Atlus,4,minor:minorish,--,high reverb,rock,piano,strings,electric_guitar,drumset,no_drums,electric_bass:bass,,,,,,,,,,
Romancing SaGa 3,"""Boundaries""",SaGa,1995,SNES:Nintendo,Square Enix,4,minor:minorish,--,high reverb,light_drums,treble_vocals:vocals,flute:woodwinds,tom_toms:drums,celesta:metallic_percussion,bass_drum:drums,strings,no_bass,,,,,,,,,
Unlimited Saga,"""Theme for Laura""",SaGa,2002,PlayStation 2:Sony,Square Enix,3,minor:minorish,arpeggiated,high reverb,no_drums,flute:woodwinds,piano,strings,celesta:metallic_percussion,chimes:metallic_percussion,harp:plucked_strings,orchestra,,cymbals:metallic_percussion,,,,,,,
PoPoLoCRoIS Monogatari,"""Northern World""",Popolocrois,1996,PlayStation:Sony,epics,4,major:majorish,--,high reverb,no_drums,wind_chimes:metallic_percussion,synth_brass:synth,no_bass,other_vocals:vocals,,,,,,,,,,,,
Tales of Graces,"""To a Sea of Dancing Snow""",Tales,2009,Nintendo Wii:Nintendo,Namco,4,minor:minorish,--,high reverb,no_drums,oboe:woodwinds,cymbals:metallic_percussion,electric_piano,acoustic_bass:bass,glockenflute,shaker:auxiliary_percussion,,,,,,,,,,
Seiya Monogatari: Anearth Fantasy Stories,"""Forest""",Anearth Fantasy Stories,1995,computer:computer,Hudson,4,major:majorish,--,high reverb,rock,piano,chimes:metallic_percussion,oboe:woodwinds,strings,horn:brass,harp:plucked_strings,flute:woodwinds,orchestra,electric_piano,pizz_strings:plucked_strings,bluesy,,Christmas,glockenflute,drumset,acoustic_guitar:plucked_strings
Napple Tale,"""Snowball""",n/a,2000,Sega Dreamcast:Sega,Chime,2,lydian:majorish,arpeggiated,high reverb,train,strings,glockenspiel:metallic_percussion,piano,electric_guitar,handbells:metallic_percussion,,flute:woodwinds,oboe:woodwinds,sleigh_bells:metallic_percussion,triangle:metallic_percussion,electric_bass:bass,drumset,no_drums,,,
SaGa Frontier 2,"""Naturvolk""",SaGa,1999,PlayStation:Sony,Square Enix,4,lydian:majorish,arpeggiated,high reverb,--,piano,pizz_strings:plucked_strings,oboe:woodwinds,strings,shaker:auxiliary_percussion,cymbals:metallic_percussion,celesta:metallic_percussion,hand_drums:drums,timpani:drums,,,,,,,
Bravely Default,"""Land of Immortality""",Bravely,2014,Nintendo 3DS:Nintendo,Square Enix,4,minor:minorish,arpeggiated,high reverb,rock,sleigh_bells:metallic_percussion,piano,glockenspiel:metallic_percussion,acoustic_guitar:plucked_strings,wind_chimes:metallic_percussion,treble_vocals:vocals,pennywhistle:woodwinds,drumset,,,,,,,,
